Event,Event_name,Event_order,Event_year,Date,Race_time_clock,Distance,Laps,Rang,Participant,UCI_Class_code,Year_of_birth,Age,Team,Time,Time_seconds,Time_min,Time_hours,Velocity,Gender_name,Gender,Class_number,Class,Discipline
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,1,63,MC3,1980,31,BELGIUM,1:36:03,5763,96.05,1.600833333,38.41749089,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,5,70,MC4,1979,32,CZECH REPUBLIC,1:53:00,6780,113,1.883333333,40.83185841,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:02,61.5,4,5,73,WC5,1972,39,GERMANY,1:41:34,6094,101.5666667,1.692777778,36.3308172,Women,2,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,15,74,MC4,1970,41,USA,1:53:09,6789,113.15,1.885833333,40.77772868,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,13,89,MC4,1976,35,FRANCE,1:53:00,6780,113,1.883333333,40.83185841,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,4,92,WT2,1990,21,SOUTH AFRICA,1:11:14,4274,71.23333333,1.187222222,25.85868039,Women,2,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,20,109,MC5,NA,NA,SLOVAKIA,1:53:22,6802,113.3666667,1.889444444,40.69979418,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,4,115,MC1,1969,42,GREAT BRITAIN,1:41:46,6106,101.7666667,1.696111111,36.25941697,Men,1,1,C1,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,2,118,WT2,1961,50,AUSTRALIA,1:08:27,4107,68.45,1.140833333,26.9101534,Women,2,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,6,119,MC4,1986,25,USA,1:53:00,6780,113,1.883333333,40.83185841,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,16,124,MC4,1981,30,FRANCE,1:53:09,6789,113.15,1.885833333,40.77772868,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,1,125,WT2,1979,32,CANADA,1:02:35,3755,62.58333333,1.043055556,29.43275632,Women,2,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:02,61.5,4,4,126,WC5,1977,34,USA,1:41:34,6094,101.5666667,1.692777778,36.3308172,Women,2,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,17,128,MC4,1978,33,GREAT BRITAIN,1:53:41,6821,113.6833333,1.894722222,40.58642428,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,8,131,MC2,NA,NA,BRAZIL,1:40:04,6004,100.0666667,1.667777778,36.87541639,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,5,136,MC5,1987,24,UKRAINE,1:51:53,6713,111.8833333,1.864722222,41.23938627,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:02,46.1,3,3,137,WC2,1988,23,CZECH REPUBLIC,1:27:41,5261,87.68333333,1.461388889,31.54533359,Women,2,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,7,146,MC4,1990,21,COLOMBIA,1:53:00,6780,113,1.883333333,40.83185841,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,3,150,MT2,1958,53,GERMANY,0:57:00,3420,57,0.95,32.31578947,Men,1,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,4,151,MC2,1983,28,SPAIN,1:36:04,5764,96.06666667,1.601111111,38.41082582,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,10,153,MC5,1972,39,AUSTRIA,1:53:00,6780,113,1.883333333,40.83185841,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,18,159,MC4,1975,36,ITALY,1:53:54,6834,113.9,1.898333333,40.50921861,Men,1,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,15,160,MC3,1977,34,USA,1:37:31,5851,97.51666667,1.625277778,37.83968552,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,1,161,MT2,1976,35,ITALY,0:56:58,3418,56.96666667,0.949444444,32.33469865,Men,1,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:02,61.5,4,3,166,WC4,1983,28,USA,1:49:25,6565,109.4166667,1.823611111,33.72429551,Women,2,4,C4,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,10:45,30.7,2,11,173,MT2,1991,20,SOUTH AFRICA,1:04:52,3892,64.86666667,1.081111111,28.3967112,Men,1,2,T2,T
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,6,175,MC3,1985,26,JAPAN,1:36:04,5764,96.06666667,1.601111111,38.41082582,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,8,178,MC5,1978,33,AUSTRALIA,1:51:58,6718,111.9666667,1.866111111,41.20869306,Men,1,5,C5,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,14,179,MC3,NA,NA,FRANCE,1:37:10,5830,97.16666667,1.619444444,37.97598628,Men,1,3,C3,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,1,180,MC2,1970,41,COLOMBIA,1:36:04,5764,96.06666667,1.601111111,38.41082582,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,10/09/2011,16:00,61.5,4,10,186,MC2,1966,45,VENEZUELA,1:41:59,6119,101.9833333,1.699722222,36.18238274,Men,1,2,C2,C
Roskilde-Wchamp2011,Roskilde-Wchamp,4,2011,11/09/2011,8:00,76.9,5,12,189,MC4,1966,45,AUSTRIA,1:53:00,6780,113,1.883333333,40.83185841,Men,1,4,C4,C
